tweets,sdf
bugün sonunda deadpool'a gittim çok mutluyum fazla mutluyum aşırı mutluyum,positive
deadpool izliyeceğim bana iyi seyirler :),neutral
içimde ki deadpool u durduramıyorum ...,neutral
deadpool bayan t-shı yeni!! sipariş için gittigidiyor ,neutral
deadpool müziği çaldığınız için sevinmedik değil şuan çalan -x gon give to you,positive
deadpool (at  in izmir türkiye) ,neutral
rt  en sevdiğim film: deadpool ,positive
hiç bir süperkahraman filmi deadpool'un gişesini geçemezse bu yıl oturur burada randomdan oluşan 10 15 tweet atarım bak.,negative
deadpool'u daha izlememis olmam koyuyo,neutral
efsaneydi,positive
en sevdiğim film: deadpool,positive
bu gelceğim en üst nokta daha da fazla gidemem inan,negative 
abi yok böyle bir film,positive
harun can isimli seslendirmen arkadaşı küfürleri yedirmekteki başarısı için ayrıca kutlamak lazım,positive  
star wars çıktı hayranı oldunuz deadpool çıktı hayranı oldunuz.civil war çıkınca izlemeyin,neutral
deadpool torrente düştü mü yav,neutral
rt  deadpool dediğiniz ölüdeniz mi?,neutral
deadpool nete düşsede 36241839 kere izlesem,positive
teşekkürler marvel teşekkürler deadpool! çenem çıktı gülmekten,positive  
allam deadpool çok güzelll,positive
sonunda gidilen deadpool erilen bi murat ve artık favori olan süper kahra- hayır kahraman değil süper adam kesinlikle kahraman değil!,positive
rt  en sevdiğim film deadpool,positive
deadpool'da ryan reynolds filmin yarısinda rent tişörtü giyiyomuş biri bunu doğrulasın????,neutral
deadpool kadar gereksiz bir film görmedim. espiri anlayışınız rezilse izleyin tam size göre,negative
iron man ve yenilmezlerden sonra marvel'ın en iyi filmi kesinlikle deadpool,positive
sonunda deadpool (at  in ankara türkiye) ,neutral
deadpool(at  in eskişehir türkiye w/,neutral  
dun deadpool'a gittim.,neutral
efsoların efsosunun efsosunun efsosu deadpool &amp; wolverıne ,positive
rt hepimiz olucez.,neutral
deadpool a geldim bu hafta  film sonu görüşlerimi bildiririm. ,neutral
deadpool ve mısır tanrıları,neutral
yeni bir süper kahraman:deadpool ,neutral
 çok deadpool gördüm sizi asfadvfsdfa ,positive
geç oldu güç olmadın. deadpool'u birde ben izleyeyim bari. salonda bomboş zaten. antepliler ne anlar filmden..!!!,neutral
rt  deadpool'un gözleri cgi imiş. kendi yanlışımı düzelteyim. ,neutral
sınıfta deadpool izlemek nedir hocam,neutral
cnr'da adam deadpool burada deadpool buradaa..! diye bağırıyor beah !,neutral
 the gods of egpty var sizin köyde çekilmiş :) bide deadpool var hacım aksiyon be komedi biraz bizim kafada :),positive
sinemasına gitmek istediğim 5 film var,neutral
çizgiromana bu kadar bariz benzeyen tek film deadpool bu filmden sonra. boşuna konuşma o yüzden. :))))),positive
ilk kez bir filmi bitir-e-medim. deadpool sevenlerine lafım yok. denedim ama keyif alamadım. sulu vıcık vıcık. yok ya bu komiklik değil.,negative
deadpool kadar gevşek olabilsem afsdasfgasfda,positive
eve gidip deadpool izlim bari xd,neutral
2016'nın süper kahramanı: deadpool ,neutral
rt  başıma bir şey gelmeyecekse deadpool overrated bir filmdir..,negative
deadpool vizyondan çıkıcak ben hala gidemedim,neutral
d: son sözleri alayım,positive
önceden gidilen cem yılmaz'ın filminin salonuyla bugün gidilen deadpool'un salonun aynı olması kaderin bana lanet bir cilvesiydi...,neutral
bir deadpool kadar terbiyeli misiniz asafdasfsadasdsa,positive
bugunku modumuz;gec kaldik.olsun deadpool guzeldi.yagmur yagiyor.olsun deadpool guzeldi.,positive
 son zamanlarda gordugum en iyi sey.,positive
tüm eleştiri yazıları:bugüne dek yapılanların en iyisi,positive
8 mart dünya kadınlar gününüzüm deadpool edasında geçmesi dileğiyle,positive
hala deadpool u izlememiş insanlar görüyorum çok şey kaçırıyorsunuz,positive
senin de dünya kadınlar günün kutlu olsun deadpool reyis :( :( :( ,neutral
az önce iron man'i izledim güzel filmdi ama bir deadpool değildi yani.,positive
yarın tek başına deadpool'a gitmeyen nolsun ?! ,neutral
rt  yine kendini iyi göstermissin dede:)  ,positive
rt  deadpool dünya çapında 673 milyon dolar hasılata ulaştı!,neutral
ne filim yapmışlar (deadpool) ,positive
elimde zibilyon renkte boya kalemi var inatla inanmadı deadpool'u benim yaptığıma. deadpool'a da el koydu manyak mı ne,neutral
deadpool denildiği kadar güzelmiş,positive
deadpool diye öve öve bitiremediğiniz film bu mu?,negative
çocuğunuzla izlemeyin deadpool u ağır küfür içeriyor bu yüzden berbat,negative
bir superman ve batman değil hiçbir zamanda olmayacaksın deadpool,negative
üzgünüm iyi değilsin deadpool,negative
çok kötüydü,negative
berbat bir film,negative
mükemmeldi,positive
kötüydü,negative
